triplets,name,type,rx,tx,mem,cpu
1,databox-driver-mock-0,driver,869561,7245153,179990528,0.5098485968253968
1,databox-app-mock-0,app,1074,516,62218240,0.003318386583247985
1,databox-app-mock-0,app,160720,42325,88383488,0.5185496829015545
1,databox-app-mock-0,app,758944,198223,100401152,0.40183300729166666
1,databox-app-mock-0,app,1304679,335893,109015040,0.364020343877551
1,databox-app-mock-0,app,1989927,509197,114323456,0.3283877414141414
1,databox-app-mock-0,app,2617320,666105,120438784,0.31463394897959185
1,databox-app-mock-0,app,3319325,839175,131784704,0.3283967222797927
1,databox-app-mock-0,app,4025289,1013457,137715712,0.3104236248756219
1,databox-app-mock-0,app,4726215,1186521,150208512,0.3345435386934673
1,databox-app-mock-0,app,5431321,1361015,156504064,0.30415227106598985
1,databox-app-mock-0,app,6101590,1526915,166764544,0.33799440317460316
2,arbiter,arbiter,16425,8025,96657408,0.004489258091615815
2,arbiter,arbiter,17003,8025,96657408,0
2,arbiter,arbiter,17982,8644,96665600,0.001608637
2,arbiter,arbiter,18759,9485,96665600,0.0016636954773869346
2,arbiter,arbiter,18829,9485,96665600,0.000051185074626865673
2,arbiter,arbiter,19610,10326,88727552,0.007804024
2,arbiter,arbiter,19750,10326,88727552,0
2,arbiter,arbiter,19890,10326,88727552,0
2,arbiter,arbiter,19960,10326,88727552,0
2,arbiter,arbiter,20100,10326,88727552,0
2,arbiter,arbiter,20170,10326,88727552,0
2,databox-store-mock-0,store,11945759,9299775,190156800,0.03539185907799047
2,databox-store-mock-0,store,12469254,9651386,190156800,0.26996797587939697
2,databox-store-mock-0,store,13068787,10053068,190496768,0.303294373
2,databox-store-mock-0,store,13704309,10467722,190971904,0.3077361658291457
2,databox-store-mock-0,store,14248613,10892302,191721472,0.30643734825870644
2,databox-store-mock-0,store,14969049,11371383,192167936,0.349183814
2,databox-store-mock-0,store,15594231,11788116,194068480,0.3469070525252525
2,databox-store-mock-0,store,16148439,12216200,194174976,0.3426430288557214
2,databox-store-mock-0,store,16735661,12598364,160968704,0.382446627
2,databox-store-mock-0,store,17453162,13094423,160985088,0.36065303
2,databox-store-mock-0,store,17991105,13513348,160985088,0.31990049595959597
2,databox-driver-mock-0,driver,1185159,9894305,161935360,0.02975112883474045
2,databox-driver-mock-0,driver,1235703,10335037,161939456,0.2461247487437186
2,databox-driver-mock-0,driver,1293785,10840512,161939456,0.269269549
2,databox-driver-mock-0,driver,1352103,11348235,161939456,0.272426383919598
2,databox-driver-mock-0,driver,1409221,11828288,143953920,0.3224491174129353
2,databox-driver-mock-0,driver,1479215,12434067,144130048,0.320856903
2,databox-driver-mock-0,driver,1540463,12968568,144130048,0.3033368191919192
2,databox-driver-mock-0,driver,1593615,13416887,130867200,0.3073439830845771
2,databox-driver-mock-0,driver,1650165,13920198,131321856,0.291429135
2,databox-driver-mock-0,driver,1719835,14523430,131551232,0.341411808
2,databox-driver-mock-0,driver,1771847,14963655,129462272,0.2988382353535354
2,databox-app-mock-0,app,8110378,2048753,124485632,0.021444368766195772
2,databox-app-mock-0,app,8417917,2132399,125214720,0.1410298974874372
2,databox-app-mock-0,app,8765449,2225843,125665280,0.140079885
2,databox-app-mock-0,app,9110649,2317109,132177920,0.16093238190954773
2,databox-app-mock-0,app,9504402,2422553,137814016,0.18638440298507464
2,databox-app-mock-0,app,9895312,2527733,143998976,0.202616453
2,databox-app-mock-0,app,10251289,2622359,133566464,0.17011936363636362
2,databox-app-mock-0,app,10637865,2727443,133570560,0.16301571343283583
2,databox-app-mock-0,app,10946425,2810399,133570560,0.143473504
2,databox-app-mock-0,app,11387715,2928731,133804032,0.219449559
2,databox-app-mock-0,app,11745288,3023093,118071296,0.19870142525252527
2,databox-store-mock-1,store,2428,1524,98349056,0.006680506749979102
2,databox-store-mock-1,store,3006,1524,104800256,0.24165702914572865
2,databox-store-mock-1,store,3965,2163,112668672,0.191595864
2,databox-store-mock-1,store,17561,51800,118116352,0.16682495577889447
2,databox-store-mock-1,store,100455,361062,119357440,0.3551861582089552
2,databox-store-mock-1,store,347822,594332,126300160,0.336184537
2,databox-store-mock-1,store,795493,909081,132694016,0.436498097979798
2,databox-store-mock-1,store,1187596,1244263,136597504,0.33973627263681594
2,databox-store-mock-1,store,1810241,1650414,140107776,0.392089521
2,databox-store-mock-1,store,2214255,1929936,143441920,0.28715156
2,databox-store-mock-1,store,2737800,2326745,146665472,0.36327096666666664
2,databox-driver-mock-1,driver,606,766,34091008,0.001448716379670651
2,databox-driver-mock-1,driver,1044,1016,58523648,0.3925943125628141
2,databox-driver-mock-1,driver,1496,1016,79192064,0.475225249
2,databox-driver-mock-1,driver,1566,1016,99373056,0.42263046934673365
2,databox-driver-mock-1,driver,1566,1086,104845312,0.2598094407960199
2,databox-driver-mock-1,driver,24451,192816,113786880,0.300579006
2,databox-driver-mock-1,driver,67695,571079,118906880,0.2802065171717172
2,databox-driver-mock-1,driver,104059,878548,126427136,0.2998289074626866
2,databox-driver-mock-1,driver,165693,1412109,130146304,0.316180768
2,databox-driver-mock-1,driver,203857,1745999,132870144,0.246904803
2,databox-driver-mock-1,driver,254441,2184391,136187904,0.3022232292929293
2,databox-app-mock-1,app,676,348,28917760,0.0008530291900025077
2,databox-app-mock-1,app,1036,676,47165440,0.42885905728643214
2,databox-app-mock-1,app,1196,1016,67088384,0.364094287
2,databox-app-mock-1,app,54770,15921,86294528,0.38818748542713566
2,databox-app-mock-1,app,363666,98811,92983296,0.21432477014925372
2,databox-app-mock-1,app,581771,155893,97845248,0.189949247
2,databox-app-mock-1,app,831757,224879,101638144,0.1575694
2,databox-app-mock-1,app,1151892,310133,108150784,0.22433476019900497
2,databox-app-mock-1,app,1471817,397133,108212224,0.180922308
2,databox-app-mock-1,app,1731839,468189,108847104,0.152310711
2,databox-app-mock-1,app,2079694,561769,119468032,0.20423396464646465
3,arbiter,arbiter,25670,12096,88768512,0.004306232937335274
3,arbiter,arbiter,26498,12096,88768512,0
3,arbiter,arbiter,26838,12096,88768512,0
3,arbiter,arbiter,27048,12096,88768512,0
3,arbiter,arbiter,27048,12096,88768512,0
3,arbiter,arbiter,27258,12096,88768512,0
3,arbiter,arbiter,28670,13367,88776704,0.003775699497487437
