stores,name,timestamp,entries
5,mongo-0,3417,1
5,mongo-0,3417,1
5,mongo-0,3418,1
5,mongo-0,3418,1
5,mongo-0,3418,1
5,mongo-0,3419,1
5,mongo-0,3419,1
5,mongo-0,3421,1
5,mongo-0,3422,1
5,mongo-0,3422,1
5,mongo-0,3423,1
5,mongo-0,3423,1
5,mongo-0,3423,1
5,mongo-0,3424,1
5,mongo-0,3426,1
5,mongo-0,3426,1
5,mongo-0,3427,1
5,mongo-0,3427,1
5,mongo-0,3428,1
5,mongo-0,3428,1
5,mongo-0,3428,1
5,mongo-0,3429,1
5,mongo-0,3429,1
5,mongo-0,3430,1
5,mongo-0,3430,1
5,mongo-0,3431,1
5,mongo-0,3431,1
5,mongo-0,3431,1
5,mongo-0,3432,1
5,mongo-0,3432,1
5,mongo-0,3433,1
5,mongo-0,3433,1
5,mongo-0,3433,1
5,mongo-0,3434,1
5,mongo-0,3434,1
5,mongo-0,3435,1
5,mongo-0,3435,1
5,mongo-0,3435,1
5,mongo-0,3436,1
5,mongo-0,3436,1
5,mongo-0,3437,1
5,mongo-0,3437,1
5,mongo-0,3437,1
5,mongo-0,3438,1
5,mongo-0,3438,1
5,mongo-0,3439,1
5,mongo-0,3439,1
5,mongo-0,3440,1
5,mongo-0,3440,1
5,mongo-0,3441,1
5,mongo-0,3441,1
5,mongo-0,3441,1
5,mongo-0,3442,1
5,mongo-0,3442,1
5,mongo-0,3443,1
5,mongo-0,3443,1
5,mongo-0,3443,1
5,mongo-0,3444,1
5,mongo-0,3444,1
5,mongo-0,3445,1
5,mongo-0,3445,1
5,mongo-0,3445,1
5,mongo-0,3446,1
5,mongo-0,3446,1
5,mongo-0,3447,1
5,mongo-0,3447,1
5,mongo-0,3447,1
5,mongo-0,3448,1
5,mongo-0,3448,1
5,mongo-0,3449,1
5,mongo-0,3449,1
5,mongo-0,3449,1
5,mongo-0,3450,1
5,mongo-0,3450,1
5,mongo-0,3451,1
5,mongo-0,3451,1
5,mongo-0,3452,1
5,mongo-0,3452,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3467,1
5,mongo-0,3468,1
5,mongo-0,3468,1
5,mongo-0,3468,1
5,mongo-0,3468,1
5,mongo-0,3468,1
5,mongo-0,3468,1
5,mongo-0,3472,1
5,mongo-0,3472,1
5,mongo-0,3472,1
5,mongo-0,3472,1
5,mongo-0,3472,1
5,mongo-0,3472,1
5,mongo-0,3472,1
5,mongo-0,3472,1
